date,OPEN,HIGH,LOW,CLOSE,VOLUME,dividend,event_type,description
2022-03-24,131.0,156.2,130.15,136.24,159464350,22692069361.4,,
2022-03-25,137.0,147.0,128.2,131.5,57662950,7725368187.0,,
2022-03-28,130.6,131.47,125.0,125.0,33212430,4203874797.0,,
2022-03-29,126.16,137.57,122.0,128.77,72338740,9470337365.6,,
2022-03-30,136.89,138.4,131.11,134.6,35675450,4754053635.4,,
2022-03-31,135.25,147.41,134.52,143.69,118425000,16669448877.5,,
2022-04-01,145.0,155.4,144.51,154.5,118880720,18022334419.5,,
2022-04-04,158.76,166.88,150.2,166.0,115938910,18622917617.7,,
2022-04-05,169.83,169.9,147.76,154.1,130342790,20715568335.3,,
2022-04-06,143.51,153.3,140.65,141.6,109040410,16064065136.0,,
2022-04-07,143.1,149.9,142.5,147.5,58839040,8603867601.8,,
2022-04-08,149.05,151.0,141.06,143.72,48450590,7042432416.5,,
2022-04-11,144.09,146.98,138.5,138.69,47575830,6769147874.0,,
2022-04-12,138.84,140.1,130.35,135.38,75388800,10068815929.1,,
2022-04-13,136.78,138.14,132.72,135.5,39087840,5281816161.7,,
2022-04-14,135.85,135.89,129.05,129.05,44368360,5854258707.0,,
2022-04-15,128.55,131.72,125.12,130.88,46772550,6025059285.1,,
2022-04-18,131.41,132.68,123.7,123.85,58500600,7419239922.5,,
2022-04-19,123.85,123.85,115.36,120.3,79905700,9552876654.9,,
2022-04-20,121.0,125.44,117.51,121.5,66603200,8136201185.3,,
2022-04-21,121.97,123.05,117.85,118.65,40648560,4864876092.9,,
2022-04-22,118.65,122.32,115.55,116.97,57466590,6798689067.5,,
2022-04-25,116.0,116.4,111.5,111.9,45811390,5179109798.5,,
2022-04-26,112.58,124.92,111.9,122.36,83540530,9832906106.8,,
2022-04-27,123.0,131.73,120.6,131.11,115500050,14832382819.5,,
2022-04-28,132.14,134.5,123.05,123.85,123541890,16007384988.2,,
2022-04-29,123.67,130.0,122.8,128.8,87366110,11075903085.1,,
2022-05-04,129.1,131.5,122.5,123.2,67289000,8444076353.1,,
2022-05-05,124.21,125.54,122.75,124.8,42383000,5266724459.4,,
2022-05-06,124.74,124.99,121.52,123.1,30602500,3758705967.7,,
2022-05-11,123.0,126.05,121.86,123.34,32870440,4074118445.5,,
2022-05-12,123.1,123.74,118.05,119.15,30846460,3736761907.6,,
2022-05-13,120.45,121.59,118.2,120.2,22838020,2743261781.4,,
2022-05-16,120.9,123.5,119.5,123.41,34940660,4270982372.6,,
2022-05-17,124.0,127.78,123.65,127.75,41963590,5288189358.3,,
2022-05-18,128.2,131.3,125.0,125.12,55565940,7149065642.2,,
2022-05-19,125.31,126.86,123.21,125.6,34246550,4282808065.6,,
2022-05-20,126.06,127.0,121.05,122.2,39288280,4854130253.9,,
2022-05-23,121.5,122.5,118.9,119.46,37976200,4587986948.8,,
2022-05-24,119.45,125.0,117.1,123.6,45164830,5467479952.3,,
2022-05-25,124.11,125.5,120.5,124.15,53511900,6588459652.6,,
2022-05-26,124.8,125.99,122.0,123.0,51985140,6438132740.8,,
2022-05-27,123.0,123.5,120.9,121.22,32685350,3981861287.2,,
2022-05-30,121.6,123.0,120.21,120.67,24957710,3035846751.9,,
2022-05-31,120.0,120.0,117.62,118.3,29983170,3557831216.3,,
2022-06-01,117.5,122.69,117.0,121.97,43785040,5296798375.3,,
2022-06-02,121.9,122.39,118.5,119.0,42769900,5125256938.4,,
2022-06-03,119.29,120.16,117.18,119.21,34341530,4067212982.5,,
2022-06-06,119.26,120.35,118.29,118.78,22281970,2652231034.2,,
2022-06-07,118.68,118.9,117.32,118.32,22274020,2629117760.2,,
2022-06-08,118.51,122.19,118.4,119.9,41514970,5003858591.9,,
2022-06-09,120.0,120.2,117.7,118.2,29371970,3477327986.1,,
2022-06-10,118.03,119.55,117.73,118.07,25373000,3006397517.2,,
2022-06-14,118.03,119.88,115.8,118.98,37690460,4454820677.7,,
2022-06-15,119.4,121.71,118.71,121.14,52262500,6293254524.8,,
2022-06-16,121.5,123.73,120.41,123.73,47921410,5865468454.0,,
2022-06-17,123.97,125.18,123.11,123.88,36608520,4542499796.0,,
